n001,n005,n009,n030,n070,n100,n500,n900
0.04754,0.07263,0.08188,0.18033,0.28958,0.34288,0.6531,0.7473
0.04803,0.07347,0.08586,0.17317,0.28551,0.34249,0.63715,0.74741
0.04545,0.06649,0.09735,0.18642,0.30791,0.34504,0.61021,0.7192
0.04769,0.07463,0.0801,0.18125,0.27417,0.34417,0.61176,0.77528
0.0484,0.07104,0.09579,0.19029,0.31423,0.37187,0.65137,0.69766
0.0471,0.0664,0.09279,0.17249,0.27789,0.35431,0.63241,0.74505
0.04241,0.08132,0.09458,0.16885,0.30293,0.34737,0.62431,0.73005
0.05122,0.06606,0.08141,0.19303,0.29495,0.34051,0.66919,0.75081
0.04974,0.07112,0.08759,0.17866,0.30413,0.3591,0.67574,0.79312
0.04379,0.06704,0.08189,0.17534,0.28666,0.36698,0.62951,0.74027
